Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
0,Fukui,Japan,1/2/2021 5:22,35.846614,136.224654,355,12,325,18,"Fukui, Japan",46.22775045,3.38028169
0,Fukuoka,Japan,1/2/2021 5:22,33.526032,130.666949,9121,119,7272,1730,"Fukuoka, Japan",178.7142177,1.304681504
0,Fukushima,Japan,1/2/2021 5:22,37.378867,140.223295,956,21,673,262,"Fukushima, Japan",51.80114645,2.19665272
0,Gifu,Japan,1/2/2021 5:22,35.778671,137.055925,2348,35,1706,607,"Gifu, Japan",118.1926591,1.490630324
0,Gunma,Japan,1/2/2021 5:22,36.504479,138.985605,2339,45,1935,359,"Gunma, Japan",120.4145679,1.923899102
0,Hiroshima,Japan,1/2/2021 5:22,34.605309,132.788719,3392,36,1778,1578,"Hiroshima, Japan",120.9624072,1.061320755
0,Hokkaido,Japan,1/2/2021 5:22,43.385711,142.552318,13536,456,11309,1771,"Hokkaido, Japan",257.8261651,3.368794326
0,Hyogo,Japan,1/2/2021 5:22,35.039913,134.828057,10128,220,8404,1504,"Hyogo, Japan",185.2844486,2.172195893
0,Ibaraki,Japan,1/2/2021 5:22,36.303588,140.319591,2488,38,2123,327,"Ibaraki, Japan",86.98366993,1.52733119
0,Ishikawa,Japan,1/2/2021 5:22,36.769464,136.771027,1084,51,915,118,"Ishikawa, Japan",95.28422211,4.704797048
0,Iwate,Japan,1/2/2021 5:22,39.593287,141.361777,389,24,297,68,"Iwate, Japan",31.70809641,6.16966581
0,Kagawa,Japan,1/2/2021 5:22,34.217292,133.969047,306,3,206,97,"Kagawa, Japan",31.99675432,0.980392157
0,Kagoshima,Japan,1/2/2021 5:22,31.009484,130.430665,1031,14,875,142,"Kagoshima, Japan",64.34608834,1.357904947
0,Kanagawa,Japan,1/2/2021 5:22,35.415312,139.338983,21730,280,17855,3595,"Kanagawa, Japan",236.2401269,1.288541187
0,Kochi,Japan,1/2/2021 5:22,33.422519,133.367307,669,8,540,121,"Kochi, Japan",95.84129026,1.195814649
0,Kumamoto,Japan,1/2/2021 5:22,32.608154,130.745231,1905,18,1466,421,"Kumamoto, Japan",109.0086961,0.94488189
0,Kyoto,Japan,1/2/2021 5:22,35.253815,135.443341,4906,53,3431,1422,"Kyoto, Japan",189.937347,1.080309825
0,Mie,Japan,1/2/2021 5:22,34.508018,136.376013,1297,18,1108,171,"Mie, Japan",72.82908132,1.387818042
0,Miyagi,Japan,1/2/2021 5:22,38.446859,140.927086,2221,16,1694,511,"Miyagi, Japan",96.29872115,0.720396218
0,Miyazaki,Japan,1/2/2021 5:22,32.193204,131.299374,783,9,668,106,"Miyazaki, Japan",72.9525082,1.149425287
0,Nagano,Japan,1/2/2021 5:22,36.132134,138.045528,1206,15,1029,162,"Nagano, Japan",58.86401242,1.243781095
0,Nagasaki,Japan,1/2/2021 5:22,33.235712,129.608033,675,4,311,360,"Nagasaki, Japan",50.88486903,0.592592593
0,Nara,Japan,1/2/2021 5:22,34.317451,135.871644,2000,24,1620,356,"Nara, Japan",150.3620342,1.2
0,Niigata,Japan,1/2/2021 5:22,37.521819,138.918647,545,3,436,106,"Niigata, Japan",24.51525028,0.550458716
0,Oita,Japan,1/2/2021 5:22,33.200697,131.43324,700,6,561,133,"Oita, Japan",61.65043499,0.857142857
0,Okayama,Japan,1/2/2021 5:22,34.89246,133.826252,1390,15,762,613,"Okayama, Japan",73.56108693,1.079136691
0,Okinawa,Japan,1/2/2021 5:22,25.768923,126.668016,5411,81,4902,428,"Okinawa, Japan",372.3588739,1.496950656
0,Osaka,Japan,1/2/2021 5:22,34.620965,135.507481,30297,588,25866,3843,"Osaka, Japan",343.9181698,1.940786216
0,Port Quarantine,Japan,1/2/2021 5:22,,,1900,1,1750,149,"Port Quarantine, Japan",,0.052631579
0,Saga,Japan,1/2/2021 5:22,33.286977,130.115738,469,3,409,57,"Saga, Japan",57.5664254,0.639658849
0,Saitama,Japan,1/2/2021 5:22,35.997101,139.347635,14511,211,11017,3283,"Saitama, Japan",197.4368181,1.454069327
0,Shiga,Japan,1/2/2021 5:22,35.215827,136.138064,1199,12,937,250,"Shiga, Japan",84.79832638,1.000834028
0,Shimane,Japan,1/2/2021 5:22,35.07076,132.554064,209,0,178,31,"Shimane, Japan",30.99299173,0
0,Shizuoka,Japan,1/2/2021 5:22,34.916975,138.407784,2717,41,2177,499,"Shizuoka, Japan",74.57058104,1.509017298
0,Tochigi,Japan,1/2/2021 5:22,36.689912,139.819213,1534,6,1006,522,"Tochigi, Japan",79.31788686,0.391134289
0,Tokushima,Japan,1/2/2021 5:22,33.919178,134.242091,199,9,183,7,"Tokushima, Japan",27.33602847,4.522613065
0,Tokyo,Japan,1/2/2021 5:22,35.711343,139.446921,61105,631,50365,10109,"Tokyo, Japan",438.9517942,1.032648719
0,Tottori,Japan,1/2/2021 5:22,35.359069,133.863619,119,0,66,53,"Tottori, Japan",21.41990575,0
